,Country,Risk,Code,Category,No Abuse
109,Malaysia,0.35862694123443856,MYS,abuse,attacks
110,Maldives,0.7504421209394683,MDV,abuse,attacks
111,Mali,0.00912060107906146,MLI,abuse,attacks
112,Malta,1.5428205075176307,MLT,attacks,attacks
113,Marshall Islands,0.10271686097272867,MHL,abuse,anonymizers
114,Mauritania,0.012036375288731069,MRT,abuse,anonymizers
115,Mauritius,0.795856802678884,MUS,spam,spam
116,Mexico,0.10499974055158448,MEX,abuse,attacks
117,Monaco,2.7144408251900107,MCO,abuse,organizations
118,Mongolia,0.3734770715360001,MNG,abuse,anonymizers
119,Montenegro,0.8644722782379548,MNE,abuse,attacks
120,Morocco,0.16916863234418764,MAR,abuse,spam
121,Mozambique,0.015595355052328858,MOZ,abuse,attacks
122,Myanmar,0.022175304251784104,MMR,abuse,spam
123,Namibia,0.10824035894953753,NAM,abuse,spam
124,Nauru,0.9445843828715365,NRU,abuse,No data
125,Nepal,0.18228508668385723,NPL,abuse,attacks
126,Netherlands,2.96970283297846,NLD,abuse,attacks
127,New Caledonia,2.235443216221925,NCL,attacks,attacks
128,New Zealand,0.3461262920888343,NZL,abuse,attacks
129,Nicaragua,0.07114671333891062,NIC,abuse,attacks
130,Niger,0.006594499082740823,NER,spam,spam
131,Nigeria,0.028885807327682984,NGA,abuse,anonymizers
132,North Macedonia,0.6759617812745143,MKD,abuse,spam
133,Northern Mariana Islands,0.07032101543546289,MNP,abuse,anonymizers
134,Norway,0.9082978569665148,NOR,abuse,attacks
135,Oman,0.17123986149242063,OMN,abuse,attacks
136,Pakistan,0.26819495301534485,PAK,abuse,spam
137,Palau,0.7818171664712124,PLW,abuse,anonymizers
138,Panama,0.38330109629859466,PAN,attacks,attacks
139,Papua New Guinea,0.012432729637164148,PNG,attacks,attacks
140,Paraguay,0.18674334980192123,PRY,attacks,attacks
141,Peru,0.13004366215957008,PER,spam,spam
142,Philippines,0.11990407449009685,PHL,abuse,attacks
143,Poland,0.9218361902619342,POL,abuse,attacks
144,Portugal,0.4739460026404035,PRT,abuse,attacks
145,Puerto Rico,0.18559361633073596,PRI,abuse,anonymizers
146,Qatar,0.24517584176739426,QAT,abuse,spam
147,Republic of Lithuania,1.6547572658219134,LTU,attacks,attacks
148,Republic of Moldova,1.2417217375756617,MDA,abuse,anonymizers
149,Romania,0.8129327322427269,ROU,abuse,malware
150,Russia,1.6562792756408327,RUS,abuse,attacks
151,Rwanda,0.014713127743520758,RWA,abuse,spam
152,Samoa,0.275327588844134,WSM,abuse,spam
153,San Marino,0.8287701642740861,SMR,abuse,anonymizers
154,Saudi Arabia,0.1465284203562694,SAU,spam,spam
155,Senegal,0.07234602973566892,SEN,abuse,spam
156,Serbia,0.6969265909719791,SRB,abuse,attacks
157,Seychelles,12.866621194270477,SYC,abuse,attacks
158,Sierra Leone,0.015555242417342187,SLE,abuse,anonymizers
159,Singapore,3.849130540573709,SGP,abuse,attacks
160,Slovakia,0.5401127333871732,SVK,abuse,attacks
161,Slovenia,0.7013735312270843,SVN,abuse,attacks
162,Solomon Islands,0.021444173158634804,SLB,abuse,anonymizers
163,Somalia,0.01752380739163524,SOM,abuse,anonymizers
164,South Africa,0.21848533380851817,ZAF,abuse,attacks
165,South Korea,0.7307216604097014,KOR,abuse,attacks
166,South Sudan,0.0017310621797534968,SSD,abuse,anonymizers
167,Spain,0.4394767209283656,ESP,abuse,attacks
168,Sri Lanka,0.08717120443008768,LKA,abuse,spam
169,Sudan,0.014329618007071655,SDN,spam,spam
170,Suriname,0.21701727978388552,SUR,abuse,attacks
171,Sweden,1.9987872151858337,SWE,abuse,attacks
172,Switzerland,0.6975835148134637,CHE,abuse,attacks
173,Syria,0.026439874453775557,SYR,abuse,anonymizers
174,Tajikistan,0.030326880923150258,TJK,abuse,reputation
175,Tanzania,0.015465652508131096,TZA,abuse,spam
176,Thailand,0.6484942701648101,THA,abuse,anonymizers
177,Togo,0.04842127625808489,TGO,abuse,anonymizers
178,Tonga,0.06783142920821342,TON,reputation,anonymizers
179,Trinidad and Tobago,0.34607852025170915,TTO,abuse,spam
180,Tunisia,0.26069579058008835,TUN,abuse,spam
181,Turkey,0.2752438771539127,TUR,abuse,reputation
182,Turkmenistan,0.00837476849747082,TKM,spam,spam
183,Turks and Caicos Islands,0.9292446568432231,TCA,abuse,anonymizers
184,Tuvalu,0.5213764337851929,TUV,abuse,No data
185,Uganda,0.018093239824910807,UGA,abuse,attacks
186,Ukraine,3.0749050546589527,UKR,malware,malware
187,United Arab Emirates,0.2705857225640769,ARE,abuse,attacks
188,United Kingdom,0.9965709962420696,GBR,abuse,attacks
189,United States,1.5515664068203072,USA,abuse,attacks
190,Uruguay,0.4609632276007386,URY,spam,spam
191,Uzbekistan,0.04575881342663114,UZB,abuse,spam
192,Vanuatu,0.11616782834495011,VUT,abuse,anonymizers
193,Venezuela,0.21277999680985873,VEN,abuse,attacks
194,Vietnam,1.106432519982778,VNM,abuse,spam
195,Yemen,0.012807607592588388,YEM,abuse,anonymizers
196,Zambia,0.03215800623127646,ZMB,abuse,attacks
197,Zimbabwe,0.03428210976674452,ZWE,abuse,attacks
