,Country,Risk,Code
154,Senegal,0.07234602973566892,SEN
155,Serbia,0.6969265909719791,SRB
156,Sierra Leone,0.015555242417342187,SLE
157,Singapore,3.849130540573709,SGP
158,Slovakia,0.5401127333871732,SVK
159,Slovenia,0.7013735312270843,SVN
160,Solomon Islands,0.021444173158634804,SLB
161,Somalia,0.01752380739163524,SOM
162,South Africa,0.21848533380851817,ZAF
163,South Korea,0.7307216604097014,KOR
164,South Sudan,0.0017310621797534968,SSD
165,Spain,0.4394767209283656,ESP
166,Sri Lanka,0.08717120443008768,LKA
167,Sudan,0.014329618007071655,SDN
168,Suriname,0.21701727978388552,SUR
169,Sweden,1.9987872151858337,SWE
170,Switzerland,0.6975835148134637,CHE
171,Syria,0.026439874453775557,SYR
172,Tajikistan,0.030326880923150258,TJK
173,Tanzania,0.015465652508131096,TZA
174,Thailand,0.6484942701648101,THA
175,Togo,0.04842127625808489,TGO
176,Tonga,0.06783142920821342,TON
177,Trinidad and Tobago,0.34607852025170915,TTO
178,Tunisia,0.26069579058008835,TUN
179,Turkey,0.2752438771539127,TUR
180,Turkmenistan,0.00837476849747082,TKM
181,Turks and Caicos Islands,0.9292446568432231,TCA
182,Tuvalu,0.5213764337851929,TUV
183,Uganda,0.018093239824910807,UGA
184,Ukraine,3.0749050546589527,UKR
185,United Arab Emirates,0.2705857225640769,ARE
186,United Kingdom,0.9965709962420696,GBR
187,United States,1.5515664068203072,USA
188,Uruguay,0.4609632276007386,URY
189,Uzbekistan,0.04575881342663114,UZB
190,Vanuatu,0.11616782834495011,VUT
191,Venezuela,0.21277999680985873,VEN
192,Vietnam,1.106432519982778,VNM
193,Yemen,0.012807607592588388,YEM
194,Zambia,0.03215800623127646,ZMB
195,Zimbabwe,0.03428210976674452,ZWE
